Date,open,high,low,close,adjclose,volume,ingested_at_utc
2018-06-25,129500.0,130000.0,128000.0,129000.0,96457.234375,563769,2026-03-03 06:42:14.237280+00:00
2018-06-26,128000.0,131000.0,127500.0,129500.0,96831.0859375,703936,2026-03-03 06:42:14.237280+00:00
2018-06-27,129000.0,130500.0,125500.0,127500.0,95335.609375,935679,2026-03-03 06:42:14.237280+00:00
2018-06-28,126000.0,126500.0,123000.0,125000.0,94205.1640625,1101059,2026-03-03 06:42:14.237280+00:00
2018-06-29,124500.0,126000.0,123500.0,125500.0,94581.96875,496503,2026-03-03 06:42:14.237280+00:00
2018-07-02,125000.0,125500.0,123000.0,123500.0,93074.6875,428578,2026-03-03 06:42:14.237280+00:00
2018-07-03,125500.0,125500.0,119500.0,122000.0,91944.2421875,556533,2026-03-03 06:42:14.237280+00:00
2018-07-04,120500.0,122500.0,118000.0,119500.0,90060.140625,510210,2026-03-03 06:42:14.237280+00:00
2018-07-05,119000.0,122000.0,118000.0,121500.0,91567.40625,845590,2026-03-03 06:42:14.237280+00:00
2018-07-06,122500.0,126000.0,122500.0,123500.0,93074.6875,658197,2026-03-03 06:42:14.237280+00:00
2018-07-09,124000.0,125000.0,122500.0,124500.0,93828.3515625,303024,2026-03-03 06:42:14.237280+00:00
2018-07-10,123500.0,125500.0,122500.0,123500.0,93074.6875,328075,2026-03-03 06:42:14.237280+00:00
2018-07-11,121000.0,123000.0,120500.0,121500.0,91567.40625,384762,2026-03-03 06:42:14.237280+00:00
2018-07-12,121500.0,125000.0,121000.0,123000.0,92697.875,613187,2026-03-03 06:42:14.237280+00:00
2018-07-13,123500.0,125000.0,122000.0,122500.0,92321.0625,306680,2026-03-03 06:42:14.237280+00:00
2018-07-16,122500.0,127500.0,122500.0,126000.0,94958.8046875,494043,2026-03-03 06:42:14.237280+00:00
2018-07-17,126000.0,129000.0,125000.0,126500.0,95335.6328125,436989,2026-03-03 06:42:14.237280+00:00
2018-07-18,127000.0,128500.0,124000.0,124000.0,93451.515625,325090,2026-03-03 06:42:14.237280+00:00
2018-07-19,125000.0,125500.0,123500.0,124000.0,93451.515625,359064,2026-03-03 06:42:14.237280+00:00
2018-07-20,124500.0,128500.0,122500.0,127000.0,95712.4375,463776,2026-03-03 06:42:14.237280+00:00
2018-07-23,127500.0,131000.0,127000.0,129500.0,97596.5546875,660426,2026-03-03 06:42:14.237280+00:00
2018-07-24,129500.0,130000.0,126500.0,129500.0,97596.5546875,479217,2026-03-03 06:42:14.237280+00:00
2018-07-25,130000.0,130500.0,129000.0,130500.0,98350.1796875,305338,2026-03-03 06:42:14.237280+00:00
2018-07-26,131000.0,131500.0,128000.0,130000.0,97973.3671875,484321,2026-03-03 06:42:14.237280+00:00
2018-07-27,129500.0,131500.0,129000.0,129500.0,97596.5546875,365369,2026-03-03 06:42:14.237280+00:00
2018-07-30,129000.0,131000.0,128500.0,130500.0,98350.1796875,179748,2026-03-03 06:42:14.237280+00:00
2018-07-31,131000.0,131000.0,128500.0,129500.0,97596.5546875,306556,2026-03-03 06:42:14.237280+00:00
2018-08-01,130000.0,130500.0,128000.0,128500.0,96842.9140625,244440,2026-03-03 06:42:14.237280+00:00
2018-08-02,128000.0,128500.0,124000.0,125500.0,94581.96875,425332,2026-03-03 06:42:14.237280+00:00
2018-08-03,124000.0,125500.0,124000.0,124000.0,93451.515625,468331,2026-03-03 06:42:14.237280+00:00
2018-08-06,124500.0,126000.0,124000.0,124500.0,93828.3515625,317150,2026-03-03 06:42:14.237280+00:00
2018-08-07,124000.0,126000.0,123500.0,125000.0,94205.1640625,285278,2026-03-03 06:42:14.237280+00:00
2018-08-08,125500.0,129500.0,125500.0,127500.0,96089.25,816582,2026-03-03 06:42:14.237280+00:00
2018-08-09,126500.0,127500.0,125500.0,126000.0,94958.8046875,532068,2026-03-03 06:42:14.237280+00:00
